iter	Passed	Remaining
0	145	145841
1	148	73873
2	149	49811
3	151	37741
4	153	30616
5	155	25780
6	157	22313
7	158	19707
8	160	17658
9	161	16003
10	162	14643
11	164	13520
12	165	12574
13	166	11749
14	167	11031
15	168	10387
16	169	9823
17	170	9316
18	171	8867
19	172	8464
20	173	8082
21	174	7748
22	175	7442
23	176	7164
24	177	6911
25	178	6675
26	179	6452
27	180	6261
28	181	6070
29	182	5887
30	183	5728
31	183	5565
32	184	5408
33	185	5263
34	185	5124
35	186	4994
36	187	4871
37	187	4754
38	188	4643
39	189	4538
40	189	4438
41	190	4342
42	191	4251
43	191	4161
44	192	4076
45	192	3996
46	193	3918
47	193	3844
48	194	3773
49	195	3706
50	195	3644
51	197	3593
52	197	3532
53	198	3474
54	198	3418
55	199	3363
56	200	3311
57	200	3260
58	201	3210
59	201	3163
60	202	3116
61	203	3071
62	203	3028
63	204	2985
64	204	2944
65	205	2905
66	205	2866
67	206	2826
68	206	2792
69	207	2759
70	208	2726
71	208	2693
72	209	2665
73	210	2637
74	211	2612
75	212	2583
76	213	2554
77	213	2526
78	214	2498
79	214	2471
80	215	2444
81	216	2419
82	216	2394
83	217	2370
84	217	2344
85	218	2320
86	218	2296
87	219	2273
88	220	2252
89	220	2231
90	221	2210
91	221	2189
92	222	2169
93	223	2149
94	223	2129
95	224	2110
96	224	2093
97	225	2078
98	226	2062
99	227	2045
100	227	2028
101	228	2008
102	228	1991
103	229	1975
104	229	1958
105	230	1943
106	230	1927
107	231	1912
108	232	1897
109	232	1883
110	233	1868
111	233	1854
112	234	1840
113	235	1827
114	235	1813
115	236	1799
116	236	1787
117	237	1774
118	237	1761
119	238	1748
120	239	1738
121	240	1727
122	240	1714
123	241	1703
124	241	1692
125	242	1682
126	243	1671
127	243	1658
128	244	1648
129	244	1637
130	245	1627
131	245	1617
132	246	1607
133	247	1597
134	247	1587
135	248	1577
136	248	1568
137	249	1558
138	250	1548
139	250	1539
140	251	1530
141	251	1521
142	252	1512
143	253	1504
144	253	1497
145	254	1489
146	255	1481
147	256	1474
148	256	1466
149	257	1457
150	257	1449
151	258	1441
152	259	1433
153	259	1425
154	260	1417
155	260	1409
156	261	1402
157	261	1394
158	262	1386
159	262	1379
160	263	1372
161	263	1364
162	264	1357
163	264	1350
164	265	1343
165	266	1336
166	266	1329
167	267	1324
168	268	1317
169	268	1311
170	269	1306
171	270	1300
172	270	1295
173	271	1289
174	272	1283
175	272	1277
176	273	1272
177	274	1266
178	274	1260
179	275	1254
180	275	1247
181	276	1241
182	276	1235
183	277	1229
184	277	1223
185	278	1218
186	278	1212
187	279	1207
188	280	1202
189	280	1196
190	281	1191
191	281	1186
192	282	1181
193	283	1176
194	283	1172
195	284	1167
196	285	1163
197	286	1158
198	286	1153
199	287	1148
200	287	1144
201	288	1139
202	288	1134
203	289	1129
204	290	1124
205	290	1120
206	291	1115
207	291	1111
208	292	1106
209	292	1101
210	293	1097
211	293	1092
212	294	1088
213	295	1085
214	296	1081
215	296	1076
216	297	1072
217	297	1068
218	298	1064
219	299	1061
220	300	1058
221	300	1054
222	301	1050
223	301	1046
224	302	1041
225	303	1038
226	303	1034
227	304	1030
228	304	1026
229	305	1022
230	305	1018
231	306	1014
232	307	1010
233	307	1007
234	308	1003
235	308	1000
236	309	996
237	310	993
238	310	989
239	311	985
240	311	982
241	312	979
242	313	975
243	314	973
244	314	970
245	315	967
246	316	963
247	316	960
248	317	956
249	317	952
250	318	949
251	318	946
252	319	942
253	319	939
254	320	935
255	320	932
256	321	929
257	322	926
258	322	923
259	323	920
260	323	917
261	324	914
262	325	911
263	325	908
264	326	904
265	326	901
266	327	898
267	328	896
268	328	893
269	329	891
270	330	888
271	330	885
272	331	882
273	332	879
274	332	876
275	333	874
276	333	871
277	334	868
278	334	865
279	335	862
280	336	860
281	336	857
282	337	854
283	337	852
284	338	849
285	339	846
286	339	843
287	340	840
288	340	838
289	341	835
290	341	832
291	342	830
292	343	828
293	343	825
294	344	823
295	345	821
296	345	818
297	346	816
298	346	813
299	347	810
300	348	808
301	348	806
302	349	803
303	349	801
304	350	798
305	351	796
306	351	794
307	352	791
308	352	789
309	353	787
310	354	784
311	354	782
312	355	779
313	355	777
314	356	775
315	357	772
316	357	770
317	358	768
318	359	766
319	359	764
320	360	762
321	360	760
322	361	757
323	362	755
324	362	752
325	363	750
326	363	748
327	364	746
328	365	744
329	365	742
330	366	740
331	366	738
332	367	736
333	368	734
334	368	732
335	369	730
336	370	728
337	371	726
338	371	725
339	372	723
340	373	721
341	374	719
342	374	717
343	375	715
344	375	713
345	376	711
346	376	709
347	377	707
348	378	705
349	378	703
350	379	701
351	379	699
352	380	697
353	381	695
354	381	693
355	382	691
356	382	689
357	383	687
358	383	685
359	384	683
360	385	681
361	385	679
362	386	678
363	386	676
364	387	674
365	388	672
366	389	671
